ACARA SML ID,AGE ID,Notes,School Name,Contact Name,Position,Contact Number,Email,Suburb,State,Postcode,School Sector,School Type,School URL,Screenrights License Yes/No,Year Range,Geolocation,Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),individual account
47576,58081,,Clover Hill State School,,,,,Mudgeeraba,QLD,4213,Government,Primary,http://www.cloverhillss.eq.edu.au,Yes,Prep-6,Major Cities,72,63.3,31,20.9,960,501,459,960,4,9,most likely
47964,17507,,Pacific Lutheran College,,,,,Meridan Plains,QLD,4551,Independent,Combined,http://www.pacificlutheran.qld.edu.au,Yes,Prep-12,Major Cities,77,71.3,63,46.8,960,481,479,959.4,2,0,Yes
46157,1281,,Melbourne Girls Grammar,,,,,South Yarra,VIC,3141,Independent,Combined,http://www.mggs.vic.edu.au,Yes,Prep-12,Major Cities,109,98,81,72,963,963,0,962.5,1,10,Yes
48913,15269,,St Brigid's College,,,,,Lesmurdie,WA,6076,Catholic,Combined,http://www.stbrigids.wa.edu.au,Yes,PP-12,Major Cities,77,70.6,43,39.4,963,799,164,963,5,6,Yes
42125,6371,,Gorokan High School,,,,,Lake Haven,NSW,2263,Government,Secondary,http://www.gorokan-h.schools.nsw.edu.au,Yes,"U, 7-12",Major Cities,69,74.9,20,17.6,963,466,497,958.8,16,7,Yes
41846,14696,,Quakers Hill High School,,,,,Quakers Hill,NSW,2763,Government,Secondary,http://www.quakershil-h.schools.nsw.edu.au,Yes,"U, 7-10",Major Cities,68,70,19,16.4,958,483,475,958,6,35,possibly no
46334,15363,,Good News Lutheran College,,,,,Tarneit,VIC,3029,Independent,Combined,http://www.goodnews.vic.edu.au,Yes,Prep-12,Major Cities,72,66.8,36,24.6,960,453,507,960,0,61,Yes
41845,14957,,Erskine Park High School,,,,,Erskine Park,NSW,2759,Government,Secondary,http://www.erskineparkhs.com.au,Yes,"U, 7-12",Major Cities,67,68.8,18,16.4,957,468,489,957,5,31,Yes
47903,17246,,Mercy College,,,,,Mackay,QLD,4740,Catholic,Secondary,http://www.mercymackay.qld.edu.au,Yes,7-10,Inner Regional,68,66.7,51,38.9,957,507,450,957,4,100,most likely
45258,18028,,Lynbrook Primary School,,,,,Lynbrook,VIC,3975,Government,Primary,http://www.lynbrookps.vic.edu.au,Yes,Prep-6,Major Cities,69,62.3,24,19.3,959,468,491,959,0,71,Yes
46196,16353,,Gippsland Grammar,,,,,Sale,VIC,3850,Independent,Combined,http://www.gippslandgs.vic.edu.au,Yes,Prep-12,Inner Regional,104,84,78,63.8,959,484,475,959,1,5,Yes
43920,1408,,Kambala,,,,,Rose Bay,NSW,2029,Independent,Combined,http://www.kambala.nsw.edu.au,Yes,K-12,Major Cities,114,106.6,77,54.8,957,957,0,956.5,1,6,Yes
49968,2066,,St Clare's College,,,,,Griffith,ACT,2603,Catholic,Secondary,http://www.stclaresc.act.edu.au,Yes,7-12,Major Cities,86,78.2,33,26.3,956,956,0,956,2,4,most likely
41229,5502,,Neutral Bay Public School,,,,,Neutral Bay,NSW,2089,Government,Primary,http://www.neutralbay-p.schools.nsw.edu.au/,Yes,K-6,Major Cities,42,47.3,6,5.9,955,480,475,955,0,41,Yes
45392,6198,,North Geelong Secondary College,,,,,North Geelong,VIC,3215,Government,Secondary,http://www.ngsc.vic.edu.au,Yes,7-12,Major Cities,87,79.2,49,38.4,957,404,553,957,3,36,Yes
41554,8523,,Hurlstone Agricultural High School,,,,,Glenfield,NSW,2167,Government,Secondary,http://www.hurlstone-h.schools.nsw.edu.au,Yes,7-12,Major Cities,59,66.6,32,13.8,956,438,518,954.9,0,88,Yes
43228,2345,,St Columba's Catholic College,,,,,Springwood,NSW,2777,Catholic,Secondary,http://www.stcolumbasspringwood.catholic.edu.au,Yes,7-12,Major Cities,69,64.7,22,16.6,954,434,520,954,2,12,Yes
46806,52289,,Burpengary State School,,,,,Burpengary,QLD,4505,Government,Primary,http://www.burpengaryss.eq.edu.au,Yes,Prep-6,Major Cities,71,65.1,40,24.1,954,478,476,954,8,6,most likely
48122,12446,,Bunbury Senior High School,,,,,Bunbury,WA,6230,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4008,Yes,7-12,Inner Regional,68,64.2,36,29.9,956,511,445,956,4,12,Yes
47565,55839,,Tullawong State High School,,,,,Caboolture,QLD,4510,Government,Secondary,http://www.tullawongshs.eq.edu.au,Yes,7-12,Major Cities,86,81.6,47,37.7,954,539,415,954,11,7,Yes
49386,7008,,Linden Park Primary School,,,,,Linden Park,SA,5065,Government,Primary,http://www.lindenpkr7.sa.edu.au,Yes,R-7,Major Cities,61,51.2,24,16.7,954,473,481,953.6,0,55,possibly no
42137,6347,,Toronto High School,,,,,Toronto,NSW,2283,Government,Secondary,http://www.toronto-h.schools.nsw.edu.au,Yes,"U, 7-12",Major Cities,63,69.7,19,15.8,956,480,476,953.5,15,4,Yes
43208,23691,,St Mark's Catholic College,,,,,Stanhope Gardens,NSW,2768,Catholic,Secondary,http://www.clcstanhope.catholic.edu.au,Yes,7-12,Major Cities,70,66,21,15.1,954,462,492,953.5,1,42,Yes
47560,54409,,Elanora State High School,,,,,Elanora,QLD,4221,Government,Secondary,http://www.elanorashs.eq.edu.au,Yes,7-12,Major Cities,84,79,52,36.7,953,470,483,952.4,5,9,most likely
45437,5264,,MacRobertson Girls High School,,,,,Melbourne,VIC,3004,Government,Secondary,http://www.macrob.vic.edu.au,Yes,9-12,Major Cities,78,70.7,29,19.8,954,954,0,953.4,0,87,Yes
40961,15361,,The Springfield Anglican College,,,,,Springfield,QLD,4300,Independent,Combined,http://tsac.qld.edu.au/,Yes,Prep-12,Major Cities,74,64.8,69,42.8,952,473,479,952,1,16,most likely
43491,1831,,All Saints Catholic College,,,,,Liverpool,NSW,2170,Catholic,Secondary,https://ascc.nsw.edu.au/,Yes,7-10,Major Cities,75,68,34,22,952,445,507,952,2,71,Yes
48210,6663,,Darling Range Sports College,,,,,Forrestfield,WA,6058,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4116,Yes,7-12,Major Cities,76,68.4,34,28.1,954,453,501,954,7,13,Yes
48981,8780,,Lumen Christi College,,,,,Martin,WA,6110,Catholic,Secondary,http://www.lumen.wa.edu.au,Yes,7-12,Major Cities,82,78.5,51,43.1,954,496,458,954,3,26,Yes
43860,2380,,Toongabbie Christian College,,,,,Toongabbie,NSW,2146,Independent,Combined,http://www.tcs.nsw.edu.au,Yes,K-12,Major Cities,81,73,37,26.8,952,468,484,952,1,49,possibly no
49504,6984,,Blackwood High School,,,,,Eden Hills,SA,5050,Government,Secondary,http://www.bhs.sa.edu.au,Yes,8-12,Major Cities,64,58.8,21,17.5,956,451,505,951.8,1,14,most likely
41452,10213,,Macquarie Fields Public School,,,,,Macquarie Fields,NSW,2564,Government,Primary,http://www.macfields-p.schools.nsw.edu.au,Yes,K-6,Major Cities,50,50.2,7,5.9,951,503,448,951,4,74,Yes
47492,54434,,Deception Bay State High School,,,,,Deception Bay,QLD,4508,Government,Secondary,http://www.deceptionbayshs.eq.edu.au,Yes,7-12,Major Cities,87,82.6,57,40.3,1097,618,479,950.6,13,16,most likely
42061,16271,,Rutherford Public School,,,,,Rutherford,NSW,2320,Government,Primary,http://www.rutherford-p.schools.nsw.edu.au,Yes,"U, K-6",Major Cities,38,48.1,11,6.9,950,461,489,950,17,7,possibly no
46531,52816,,Clinton State School,,,,,Clinton,QLD,4680,Government,Primary,http://www.clintonss.eq.edu.au,Yes,Prep-6,Inner Regional,70,62.7,54,30.5,950,453,497,950,16,10,most likely
48009,15331,,St John's Anglican College,,,,,Forest Lake,QLD,4078,Independent,Combined,http://www.stjohnsanglicancollege.com.au/,Yes,Prep-12,Major Cities,77,68.9,64,44,950,446,504,950,1,33,Yes
45571,16061,,McClelland Secondary College,,,,,Frankston,VIC,3199,Government,Secondary,http://www.mcclellandcollege.vic.edu.au,Yes,7-12,Major Cities,75,70,38,32.7,951,462,489,951,3,12,Yes
41322,7622,,Willoughby Girls High School,,,,,Willoughby,NSW,2068,Government,Secondary,https://willoughbg-h.schools.nsw.gov.au/,Yes,7-12,Major Cities,55,66.2,12,11.4,951,951,0,949.6,0,54,Yes
46150,831,,Lauriston Girls' School,,,,,Armadale,VIC,3143,Independent,Combined,http://www.lauriston.vic.edu.au,Yes,Prep-12,Major Cities,137,114.7,86,67.7,950,950,0,949.5,0,24,Yes
43499,16321,,Holy Spirit Catholic College,,,,,Lakemba,NSW,2195,Catholic,Secondary,http://holyspirit.nsw.edu.au,Yes,7-12,Major Cities,80,72.8,30,20.1,948,434,514,948,1,90,Yes
47122,51609,,Broadbeach State School,,,,,Broadbeach,QLD,4218,Government,Primary,http://www.broadbeachss.eq.edu.au,Yes,Prep-6,Major Cities,58,53.4,36,22.7,947,477,470,947,3,26,possibly no
50450,29788,,John Tonkin College,,,,,Mandurah,WA,6210,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4196,Yes,7-12,Major Cities,82,76,40,32.9,950,476,474,950,6,17,Yes
40036,2809,,Scotch Oakburn College,,,,,Newstead,TAS,7250,Independent,Combined,http://www.soc.tas.edu.au,Yes,Prep-12,Inner Regional,116,90.1,105,66.8,948,492,456,948,1,6,Yes
40814,27905,,Holy Cross College,,,,,Ellenbrook,WA,6069,Catholic,Combined,http://www.holycross.wa.edu.au,Yes,PP-12,Major Cities,76,69.9,35,28.7,948,475,473,948,1,23,Yes
40765,6568,,Western Cape College,,,,,Rocky Point,QLD,4874,Government,Combined,http://www.westerncapecollege.eq.edu.au,Yes,Prep-12,Very Remote,91,85.5,75,60.9,946,476,470,946,59,33,most likely
45406,6193,,Koonung Secondary College,,,,,Mont Albert North,VIC,3129,Government,Secondary,http://www.koonung.vic.edu.au,Yes,7-12,Major Cities,75,68.7,34,24.9,947,415,532,946.3,0,46,Yes
43326,2360,,John Therry Catholic High School,,,,,Rosemeadow,NSW,2560,Catholic,Secondary,http://www.jtchsdow.catholic.edu.au,Yes,7-12,Major Cities,82,75.9,29,22.2,946,426,520,946,11,19,Yes
49800,17260,,Immanuel College,,,,,Novar Gardens,SA,5040,Independent,Secondary,http://www.immanuel.sa.edu.au,Yes,7-12,Major Cities,108,96.3,59,44.8,946,469,477,946,4,29,possibly no
41096,5315,,Randwick Public School,,,,,Randwick,NSW,2031,Government,Primary,http://www.randwick-p.schools.nsw.edu.au,Yes,K-6,Major Cities,46,49.9,7,5.9,945,488,457,945,1,43,Yes
42894,17211,,Jerrabomberra Public School,,,,,Jerrabomberra,NSW,2619,Government,Primary,http://www.jerra-p.schools.nsw.edu.au,Yes,"U, K-6",Major Cities,43,48.5,7,6.9,943,476,467,943,1,15,Yes
50446,28905,,Piara Waters Primary School,,,,,Piara Waters,WA,6112,Government,Primary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5829,Yes,K-6,Major Cities,53,46.6,32,24,946,476,470,898,1,52,possibly no
43267,16973,,St Peter's Catholic College,,,,,Tuggerah,NSW,2259,Catholic,Secondary,http://www.stpetersdbb.catholic.edu.au,Yes,7-12,Major Cities,84,73.9,30,19.2,941,502,439,941,5,11,Yes
45538,16370,,Bayside P-12 College,,,,,Williamstown,VIC,3016,Government,Combined,http://www.bayside.vic.edu.au,Yes,Prep-12,Major Cities,99,88.3,35,28.8,944,435,509,944,1,43,Yes
46387,28082,,Lighthouse Christian College Cranbourne,,,,,Cranbourne,VIC,3977,Independent,Combined,http://lighthousecranbourne.vic.edu.au,Yes,Prep-12,Major Cities,51,47.5,64,54.2,944,473,471,940.5,0,89,most likely
41178,6424,,Tempe High School,,,,,Tempe,NSW,2044,Government,Secondary,http://www.tempe-h.schools.nsw.edu.au,Yes,7-12,Major Cities,61,64.9,11,11.4,941,370,571,940.6,3,73,Yes
46390,28556,,Al Siraat College,,,,,Epping,VIC,3076,Independent,Combined,http://www.alsiraat.vic.edu.au,Yes,Prep-12,Major Cities,89,82.6,34,32.4,943,487,456,943,0,97,Yes
41155,6464,,Randwick Girls High School,,,,,Randwick,NSW,2031,Government,Secondary,http://www.randwickg-h.schools.nsw.edu.au,Yes,7-12,Major Cities,63,67.5,11,11.8,939,939,0,938.4,3,55,Yes
41150,5329,,Sydney Girls High School,,,,,Surry Hills,NSW,2010,Government,Secondary,http://www.sydneygirl-h.schools.nsw.edu.au,Yes,7-12,Major Cities,59,63.9,12,11.4,937,937,0,936.5,0,89,Yes
45823,893,,Our Lady of Sion College,,,,,Box Hill,VIC,3128,Catholic,Secondary,http://www.sion.catholic.edu.au,Yes,7-12,Major Cities,77,68.2,39,33.9,940,940,0,940,0,15,Yes
41821,7837,,Mitchell High School,,,,,Blacktown,NSW,2148,Government,Secondary,http://www.mitchell-h.schools.nsw.edu.au,Yes,"U, 7-12",Major Cities,71,69.2,14,12.8,936,450,486,935.2,3,53,Yes
47569,57179,,Tamborine Mountain State High School,,,,,Tamborine Mountain,QLD,4272,Government,Secondary,http://www.tamborinemtnshs.eq.edu.au,Yes,7-12,Major Cities,81,68.1,39,30.6,936,483,453,935.2,3,6,most likely
48601,10368,,Challis Community Primary School,,,,,Armadale,WA,6112,Government,Primary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5567,Yes,K-6,Major Cities,59,52.8,43,32.6,937,435,502,883.4,17,58,Yes
48043,4228,,Calvary Christian College,,,,,Springwood,QLD,4127,Independent,Combined,http://www.calvarycc.qld.edu.au,Yes,Prep-12,Major Cities,82,69.6,117,59.5,934,466,468,934,1,16,Yes
45331,15830,,Grovedale College,,,,,Grovedale,VIC,3216,Government,Secondary,http://www.grovedale.vic.edu.au,Yes,7-12,Major Cities,85,74,34,24.9,936,421,515,934.4,3,5,possibly no
47368,52286,,Kurwongbah State School,,,,,Petrie,QLD,4502,Government,Primary,http://www.kurwongbahss.eq.edu.au,Yes,Prep-6,Major Cities,69,61,50,27.2,933,453,480,933,6,6,Yes
45712,822,,Kilbreda College,,,,,Mentone,VIC,3194,Catholic,Secondary,http://www.kilbreda.vic.edu.au,Yes,7-12,Major Cities,78,66.3,35,29.1,934,934,0,934,0,15,Yes
43941,2014,,SCEGGS Darlinghurst,,,,,Darlinghurst,NSW,2010,Independent,Combined,http://www.sceggs.nsw.edu.au,Yes,K-12,Major Cities,123,111.3,59,52.1,932,932,0,932,2,16,Yes
41179,6497,,Sydney Secondary College Leichhardt Campus,,,,,Leichhardt,NSW,2040,Government,Secondary,http://www.leichhardt-h.schools.nsw.edu.au,Yes,"U, 7-10",Major Cities,58,63.9,17,15.4,931,316,615,931,4,39,Yes
50535,70064,,Mackay Northern Beaches State High School,,,,,Rural View,QLD,4740,Government,Secondary,http://www.macknorthbeachesshs.eq.edu.au,Yes,7-12,Inner Regional,74,71,43,30.8,930,469,461,930,12,5,most likely
48212,10096,,Southern River College,,,,,Gosnells,WA,6110,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4121,Yes,7-12,Major Cities,74,71.5,47,39.6,932,459,473,932,6,49,Yes
46640,51561,,Ormeau State School,,,,,Pimpama,QLD,4209,Government,Primary,http://www.ormeauss.eq.edu.au,Yes,Prep-6,Major Cities,68,57.1,30,21.1,929,459,470,929,4,8,possibly no
48127,12682,,Eastern Hills Senior High School,,,,,Mount Helena,WA,6082,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4017,Yes,7-12,Major Cities,72,66,42,32.3,931,463,468,931,4,87,most likely
48036,465,,Ipswich Grammar School,,,,,Ipswich,QLD,4305,Independent,Combined,http://www.ipswichgrammar.com,Yes,Prep-12,Major Cities,74,71.9,69,49.6,929,0,929,929,7,16,Yes
45409,11446,,Kyabram P-12 College,,,,,Kyabram,VIC,3619,Government,Combined,http://www.kyabramp-12.vic.edu.au,Yes,Prep-12,Inner Regional,91,76.1,39,24.7,930,423,507,926.3,7,5,possibly no
42133,14954,,Kincumber High School,,,,,Kincumber,NSW,2251,Government,Secondary,http://www.kincumberhigh.com.au,Yes,"U, 7-12",Major Cities,68,73,16,18.4,929,494,435,928.8,5,6,Yes
41320,7614,,North Sydney Boys High School,,,,,Crows Nest,NSW,2065,Government,Secondary,https://northsydbo-h.schools.nsw.gov.au/,Yes,7-12,Major Cities,54,63,11,11.4,927,0,927,927,0,93,most likely
41460,8533,,Casula Public School,,,,,Casula,NSW,2170,Government,Primary,http://www.casula-p.schools.nsw.edu.au,Yes,K-6,Major Cities,42,52.2,9,5.9,927,436,491,927,2,86,Yes
41787,22754,,Sherwood Ridge Public School,,,,,Kellyville,NSW,2155,Government,Primary,https://sherwood-p.schools.nsw.gov.au/,Yes,"U, K-6",Major Cities,44,50,6,8.9,927,434,493,927,0,52,possibly no
45391,9570,,Geelong High School,,,,,East Geelong,VIC,3219,Government,Secondary,http://www.geelonghigh.vic.edu.au,Yes,7-12,Major Cities,77,69.4,33,22,928,399,529,927.2,2,6,Yes
49141,23696,,Peter Carnley Anglican Community School,,,,,Wellard,WA,6170,Independent,Combined,http://www.pcacs.wa.edu.au,Yes,PP-12,Major Cities,69,64.3,40,33.4,928,451,477,928,1,21,Yes
41244,7668,,Waitara Public School,,,,,Wahroonga,NSW,2076,Government,Primary,http://www.waitara-p.schools.nsw.edu.au,Yes,K-6,Major Cities,44,51.6,6,5.9,926,481,445,926,1,89,possibly no
43874,8776,,Georges River Grammar,,,,,Georges Hall,NSW,2198,Independent,Combined,http://www.grg.nsw.edu.au,Yes,K-12,Major Cities,81,73.7,29,25.5,926,427,499,926,1,50,Yes
